"id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","title","source"
"mcVs6H0MZtI","55256","1306","36","0","725","DOJ watchdog finds Comey defied authority in Clinton probe","FoxNews"
"HUnDQYGQA-g","53938","1308","43","0","1029","Goodlatte: We're going to restore the reputation of the FBI","FoxNews"
"cgTwTNrhHV4","191724","5167","179","0","5079","Gutfeld on Peter Fonda's anti-Trump tweets","FoxNews"
"f6LvUNGEsTo","522376","7523","523","0","3583","Tucker Carlson on the civil war brewing in California","FoxNews"
"6qTQJXni48k","24911","733","12","0","277","FBI informant speaks to Congress about the Uranium One deal","FoxNews"
"KxThRcJl_AQ","203729","5339","157","0","5525","Ex-Sacred Heart student pleads guilty to false rape claim","FoxNews"
"hnwy5aVDrfw","145239","950","38","0","97","Great moments from Watters' World","FoxNews"
"rq79y7IOuh4","254212","4294","210","0","1677","Gingrich: System is much more corrupt than anyone imagined","FoxNews"
"9yEszDpuWLI","116943","2455","137","0","1423","Trump: Sometimes I felt foolish for North Korea rhetoric","FoxNews"
"6NzzS-70QF4","71617","1684","71","0","924","Tucker: IG report is catalog of bias, abuse of power","FoxNews"
"sDNe6RiV1Tk","73383","2033","103","0","1217","Indian student: I said I was black to get into med school","FoxNews"
"S0IZJPtoX8E","307876","8113","427","0","2876","Judge Jeanine: Mueller's war on Trump was put on display","FoxNews"
"S4_FB1EzKOE","412000","2543","129","0","575","Watters' World: Hillary's emails edition","FoxNews"
"WckgnvrUh8A","90923","1770","56","0","445","Trump jokes about Clinton asking for a 'pardon'","FoxNews"
"ibUIiUUSbKY","54210","724","14","0","123","Mike Rowe: People fall for 'imaginary playbook' to happiness","FoxNews"
"GKWAycIHp7Y","53395","1358","48","0","379","Scalise turns up the heat on Attorney General Jeff Sessions","FoxNews"
"9M6BmA_fdCE","83349","1558","47","0","659","Lindsey Graham breaks down the Wray-Horowitz hearing","FoxNews"
"Ed1QAT8Mwqg","35596","1031","28","0","491","Gutfeld on Starbucks' 'woke-uccino'","FoxNews"
"GJswIWAdQWc","28078","175","4","0","105","Clinton, Trump exchange compliments to end debate","FoxNews"
"w1BJBuerqH4","28970","1193","26","0","731","DOJ reverses Obama-era college affirmative action policy","FoxNews"
"32G0uO75PQw","58775","1648","56","0","823","Sebastian Gorka on Angela Merkel's border policies","FoxNews"
"Xna9QR-H-2M","157675","3088","155","0","1924","IG report reveals Strzok, Page texts","FoxNews"
"u7CT8zOHxwI","98620","2091","60","0","553","Gutfeld on Jim Acosta’s dismissal of Trump-Kim K summit","FoxNews"
"15nbFrON6BU","32859","1436","37","0","847","Tammy Bruce: Hillary, Left can't accept she failed","FoxNews"
"2DR9wT4PQ-E","233491","3272","192","0","1524","Bret Baier's exclusive interview with President Trump","FoxNews"
"dHITDivlAVY","231708","4448","312","0","2482","Trump: SCOTUS pick will move quickly if I choose right person","FoxNews"
"cqTFsYSZHHE","47196","1803","57","0","1051","Watters' Words: Backfiring activism","FoxNews"
"N7A3QViXy-8","277270","2910","176","0","1380","Rep. Jordan presses Wray over Strzok, anti-Trump dossier","FoxNews"
"fku70HD1ln4","123373","4989","221","0","2682","Judge Jeanine: IG report evidence of deep state hard at work","FoxNews"
"HID0NozF5i0","127528","2765","155","0","1634","Ann Coulter: What is it that Mueller's investigating?","FoxNews"
"VmehMh_05pI","30366","671","28","0","307","Trump: We want to denuclearize the entire peninsula","FoxNews"
"Q490iOW_-Lg","755661","14286","1386","0","3720","Mike Rowe's take: Man-babies and Starbucks 'shelters'","FoxNews"
"jFrUuD2yTl8","41197","1028","34","0","523","Gutfeld on the media's obsession with Melania's whereabouts","FoxNews"
"3zmQiE2p3tc","55458","1428","58","0","931","Gutfeld on Alec Baldwin claiming he could beat Trump","FoxNews"
"t9prCXqTl-M","169422","6286","345","0","3205","Judge Jeanine: The rise of socialism","FoxNews"
"4db_NhG2N6I","228280","5522","341","0","2434","Dinesh D'Souza: My pardon is dangerous to left's ideology","FoxNews"
"yNlZfRdSYYA","80669","3117","107","0","1276","Watters' Words: The lying left","FoxNews"
"-EV1UTnwOD0","88686","1510","62","0","1121","A closer look at Judge Amy Coney Barrett","FoxNews"
"fWgKL6wE-tQ","28249","825","25","0","373","Herman Cain: Dems have a leadership, message crisis","FoxNews"
"ZkdVnFEbg50","32089","692","26","0","379","Ex-Trump adviser: My encounter with Mueller's investigators","FoxNews"
"pH5yZxCvNOs","92094","2280","80","0","927","The life and times of Charles Krauthammer","FoxNews"
"LQ0F1jb_-9U","18628","446","12","0","189","Tucker: The Bill Clinton lesson: Don't lose power","FoxNews"
"1mj6T1Qymm0","72301","1500","76","0","831","Steyn: Samantha Bee used C-word because F-word lost power","FoxNews"
"H8ptWctDDXU","45037","1476","58","0","502","Gutfeld: The first 500 days of President Trump","FoxNews"
"Mumj1kpb27k","27912","833","28","0","294","Rep. DeSantis reacts to newly released anti-Trump FBI texts","FoxNews"
"Kcw8aoGxgss","610152","2352","228","0","1570","Cavuto: Is Trump giving the media very real ammunition?","FoxNews"
"bPm6dQ8Yfz0","120374","3271","124","0","847","Gutfeld: The state of civility","FoxNews"
"kmFSi-qzgHI","40955","1141","53","0","853","Tucker takes on Obama adviser over Trump travel ban","FoxNews"
"8MLFfPu4ua4","91966","1823","122","0","753","Dershowitz to Scarborough: Show guts, bring me on your show","FoxNews"
"QK8DoTUabtc","135407","2653","75","0","1130","Strzok subpoenaed, public hearing set for July 10th","FoxNews"
"p8pQa5L4iSU","51036","1109","25","0","498","Gutfeld: Wishful thinking doesn't save lives","FoxNews"
"1ATOp9zs-ws","143581","2527","73","0","668","Black voter: Here's why I pulled the lever for Trump","FoxNews"
"FTlECskd9Qk","52626","927","34","0","798","Rep. Matt Gaetz on grilling Peter Strzok","FoxNews"
"znY35FXkoIM","69918","1961","96","0","1304","Colorado baker: Supreme Court decision was a 'big win'","FoxNews"
"iA9OAM9coS4","99129","2357","186","0","1783","Trump blasts 'Pocahontas' Elizabeth Warren at rally","FoxNews"
"l8DW5Q8n-jU","114138","2790","111","0","840","Gutfeld: Trump is having a ball and maybe so should you","FoxNews"
"-1v7G5kGUVA","74651","1995","113","0","1542","Charlie Kirk challenges immigration activists in Chicago","FoxNews"
"gmzed0qk2Gk","54004","2030","80","0","1472","Mark Levin: Samantha Bee should be fired","FoxNews"
"QO-eEBZuRCA","37717","1027","39","0","796","Whatever happened to the Benghazi investigation?","FoxNews"
"NR-awvwIMls","542071","14619","1107","0","6558","ICE director has message for Democrats on his last day","FoxNews"
"Ia7Sp5AJwP0","35031","720","23","0","225","Mukasey: Prosecution of Dinesh D'Souza was unjustified","FoxNews"
"T125z_UCVFs","50770","1001","18","0","377","John Brennan faces scrutiny over anti-Trump dossier","FoxNews"
"3MKwYTZZSBU","65115","2098","87","0","870","Candace Owens: Media no longer reflects hearts of Americans","FoxNews"
"FDFU_kx_Y34","78715","1985","66","0","849","Rubio reacts to being heckled during press conference","FoxNews"
"zsoyOT0ox4I","34438","755","27","0","469","Gorka: Expect two big results from North Korea summit","FoxNews"
"SfZ1PpVRQv8","26637","478","19","0","179","Tom Fitton on alleged surveillance abuse at the FBI","FoxNews"
"lBVYJcyCnmg","663243","6302","389","0","1637","Former Secret Service agent: Why video of Clinton scares me","FoxNews"
"ezYsm9L4f_k","403385","10413","932","0","10028","Tucker: Left using language of total war - and it's scary","FoxNews"
"VMrvbTyFURA","48477","1439","61","0","618","Levin: Left's agenda is incompatible with constitutionalism","FoxNews"
"kU25MY5iwAE","16735","434","10","0","89","Dershowitz: Congress must tell DOJ not to touch drafts","FoxNews"
"WTHk1CdxfLo","11601","408","7","0","195","Juanita Broaddrick and Paula Jones on media double standard","FoxNews"
"4QmUMTa2hy0","713407","5532","514","0","2026","Judge Jeanine: I'll tell you what hope is, Michelle","FoxNews"
"DpEtc6F9Jl0","297868","4038","220","0","1179","Watters' Words: The dumbest things said in 2018","FoxNews"
"WU2QQWXADbE","25922","1103","48","0","637","Charlie Hurt: Americans are not into radicalism","FoxNews"
"GTCmuV1QoQY","43070","644","28","0","672","Charles Krauthammer reveals terminal cancer diagnosis","FoxNews"
"Jg5lIwIsO4Q","15943","618","9","0","262","Katie Arrington wins South Carolina GOP primary","FoxNews"
"XSyHn5ww3iI","473610","7734","292","0","2068","Nigel Farage reacts to Donald Trump's victory","FoxNews"
"laOWfAnceKI","32939","1422","66","0","680","Watters' Words: The uncivil left","FoxNews"
"WYvhr8amzRA","140969","1739","70","0","702","Newt Gingrich: Obama's legacy will disappear within a year","FoxNews"
"OZoepvYybIs","13374","466","7","0","204","Man named in Steele dossier sues BuzzFeed","FoxNews"
"pzJE3oP19e0","17835","783","27","0","295","Diamond & Silk on the left's Supreme Court hysterics","FoxNews"
"vpgOUis4OJY","68875","2200","109","0","1223","Benjamin Watson responds to Trump's pardon challenge","FoxNews"
"pMxzPgUhp3I","30383","616","18","0","315","McCabe seeks immunity in exchange for Senate testimony","FoxNews"
"M3yh4m5y6OU","46676","233","10","0","25","Avoid prostate biopsies with new cancer screening","FoxNews"
"Rnny2C1RFHk","446473","3002","233","0","2350","Tucker versus socialist college student","FoxNews"
"7Ophbx1iaF8","537070","5399","456","0","3481","Tucker Carlson confronts Newsweek bias","FoxNews"
"HfitbIbCkAc","21254","717","27","0","366","Fitton: DOJ is thumbing its nose at Congress, Trump","FoxNews"
"ujCBNszxdhA","127865","2201","138","0","1499","Gennifer Flowers levels new allegation against Bill Clinton","FoxNews"
"RPoSKWUxJew","48504","1144","31","0","580","California's primary could be train wreck for Democrats","FoxNews"
"O2p5hcN2HZc","25234","509","16","0","320","Why are Dems so opposed to releasing the FISA memo?","FoxNews"
"0imDzt8sBKw","80142","1334","65","0","810","Jesse Watters: Trump's enemies destroy themselves","FoxNews"
"bCuxhWYSq-U","30735","1290","65","0","651","Diamond & Silk: Obama's legacy didn't have a leg to stand on","FoxNews"
"1FvPKHSY_rA","45197","921","32","0","584","Ingraham: Bill Clinton and a party in denial","FoxNews"
"sNZUQaQAkPw","26869","817","44","0","392","Dershowitz on SCOTUS: Trump can win with 'true conservative'","FoxNews"
"gkMChCtDrIo","46532","1171","67","0","817","Tucker: The Left makes everything about race by design","FoxNews"
"5j5H6L4hYxE","22528","697","30","0","396","Lewandowski: Clapper is one of the worst serial liars","FoxNews"
"nr6u1tiKJ6g","108449","2422","131","0","1758","Hannity: IG report is sadly a 'swamp document'","FoxNews"
"fovX9qfTeeY","46628","896","30","0","769","Democrats seek to avoid disaster in California primary","FoxNews"
"bPr8xL9LAzw","51864","2053","112","0","1381","Candace Owens: It's a great time to be a black American","FoxNews"
"gwSygkAidC0","166916","3354","221","0","2188","Ingraham: The Democratic meltdown and the war on ICE","FoxNews"
"fKoMH4xG-fg","51695","1083","35","0","453","DiGenova: It's clear the Mueller team is acting in bad faith","FoxNews"
"d9O7C805ktI","551680","8412","414","0","2732","Gutfeld: Celebrity has-beens' Trump hysteria backfires","FoxNews"
"UkF2QWMtwxM","34149","782","30","0","486","Trump-bashing causing the blue wave to crash?","FoxNews"
"z8eN-j1ES4c","25560","565","26","0","414","Trump blasts Kerry back channel efforts on Iran deal","FoxNews"
"geHs8aJX6GE","25512","779","15","0","166","FOX to revive Tim Allen's 'last Man Standing'","FoxNews"
"ZuAB3T6k4sk","365298","5943","252","0","565","Gutfeld: You did it, President-elect Trump","FoxNews"
"IvehsOEmkbA","86113","1326","54","0","302","Trump praises Krauthammer","FoxNews"
"0GzjpcF1OS0","70765","2506","175","0","1573","Watters' Words: From anti-Trump to anti-American","FoxNews"
"3LWTgoCSbTE","120930","2156","138","0","1173","Hannity: Reports about Comey, McCabe are not surprising","FoxNews"
"UbNz-hFycfs","15275","685","27","0","516","Trump: Supreme Court ruling on travel ban is 'great victory'","FoxNews"
"xsRThvUSsB0","76495","1682","97","0","884","Giuliani: Time to investigate Mueller's investigators","FoxNews"
"NqObNjYEZCE","128751","3377","174","0","1459","Ingraham: The new Know Nothings","FoxNews"
"F7yG5Pz08cQ","22137","1070","53","0","904","Candace Owens: The left wishes to see a divided America","FoxNews"
"C5Ih4sST8tY","36945","1678","74","0","665","3 Doors Down talks support for Trump, US military","FoxNews"
"2SXr6kYYqag","66932","916","48","0","483","Scaramucci on Trump's Supreme Court pick, WH staff rumors","FoxNews"
"0vPrNRijIDc","19546","301","7","0","238","North Korea: We are willing to sit down with US anytime","FoxNews"
"18rPVpGvyRs","25399","544","21","0","573","Strzok lawyer says public testimony would be a 'trap'","FoxNews"
"Vl9aQcR3PYk","87009","1446","47","0","515","Michelle Malkin rips liberal media bias","FoxNews"
"KfANBNn5McA","16386","579","12","0","140","Gorka and Concha on latest developments in Russia probe","FoxNews"
"fnfmzNp5HtU","386457","11134","736","0","3767","Gutfeld: Trump is succeeding and it's the media's nightmare","FoxNews"
"DgVCQ-9y4JI","41346","1457","38","0","711","Trump honors 7-year-old son of fallen Marine","FoxNews"
"5wiCdQ52Pl0","30355","890","53","0","606","Tucker: Campaign against ICE is campaign for open borders","FoxNews"
"5PkhHATVh_Y","97586","1206","54","0","746","Trump to Kim Jong Un: I look forward to working with you","FoxNews"
"HVD9cHgoXBk","103511","3393","213","0","1726","Laura Ingraham: Meet the real cultists","FoxNews"
"916J0I2yrlQ","241312","3792","171","0","593","Gutfeld: Happy April Fool's birthday, Rachel Maddow","FoxNews"
"ifT5rhrteOI","44528","1344","84","0","1179","Beachgoers fail Independence Day trivia","FoxNews"
"C_NLsWDc2xM","24906","472","23","0","270","Putin hopes for successful US-North Korea summit","FoxNews"
"X26-SEdgcfc","13519","250","12","0","129","Inspector general opens investigation into FISA court","FoxNews"
"cY-B3kkMa4A","50526","1692","90","0","1343","Venue cancels pro-Trump candidate's fundraiser","FoxNews"
"Xk9OUnE0R-Y","128200","3127","154","0","1102","Gutfeld: I don't know about you, but I'm outraged out","FoxNews"
"xND-Z_Mzuhs","18801","283","15","0","169","Part 1 of Fox News' Florida GOP gubernatorial primary debate","FoxNews"
"DjpmdhG30-Y","36987","957","59","0","368","Suzanne Somers reflects on her legendary career","FoxNews"
"NEAcb0L7Jpo","20692","796","36","0","437","Tucker: Dems plan- fire cops, redefine lawbreaking","FoxNews"
"QY-Ef41739s","130489","1081","64","0","200","Watters' World: What's good about Trump? edition","FoxNews"
"fLwJcVXYyUo","6547315","12018","1541","0","6860","Watch Jodi Arias' reaction as guilty verdict is read","FoxNews"
"kfmPfF0uons","227995","4105","239","0","1743","Morgan Freeman's team accuses CNN of defamation","FoxNews"
"eboEEY5v-0I","22595","627","26","0","246","Dan Bongino blasts the double standard over Joy Reid","FoxNews"
"4Tmbn4xYkdQ","25515","457","25","0","411","Trump welcomes King Abdullah II to the White House","FoxNews"
"ULVr3YYck08","10140","246","9","0","159","A look at Trump's potential SCOTUS picks","FoxNews"
"Oio692ykPFc","315853","6819","573","0","3238","Ex-Navy sailor pardoned by Trump plans to sue Obama","FoxNews"
"61-kNKBjMJQ","55229","1554","82","0","1021","President Trump to give full pardon to Dinesh D'Souza","FoxNews"
"L5om908rZuI","41876","679","39","0","126","Former Secret Service agent reveals the real Hillary Clinton","FoxNews"
"ZCGoi0SiWNg","31445","768","48","0","678","Is the new Trump doctrine in action?","FoxNews"
"UIhNptuq4NA","8452","274","2","0","113","Will Congress intervene on FAA hiring standards?","FoxNews"
"sBsJlFFky-0","21866","593","26","0","351","Conway responds to Democrats' calls to abolish ICE","FoxNews"
"VkjGEX_hDfk","65566","1194","84","0","638","Newt Gingrich: Mueller probe is really 5 scandals","FoxNews"
"_RW0_m49Cjc","335779","1799","182","0","266","Watters' World: Radical left edition","FoxNews"
"aUHPIia_1bs","11770","441","15","0","159","DeSantis and Gaetz on GOP calls for criminal investigations","FoxNews"
"M0tM1lMzLQw","57244","1465","136","0","1474","Tucker: Progressives hate Trump so much, they dislike the US","FoxNews"
"RWgxQw3rcvQ","63244","1322","48","0","652","Trump summit back on after Kim Yong Chol White House visit","FoxNews"
"qn_Hc9XONvc","12713","500","19","0","365","NY man arrested for threats against GOP campaign worker","FoxNews"
"HdtnJqVktgs","120567","2801","174","0","1581","Hannity: Inspector general has a lot of explaining to do","FoxNews"
"b9xEgcAlOtk","12413","282","10","0","202","What narrative will play out when Horowitz, Wray testify?","FoxNews"
"_Mib8EtpBH0","88903","1744","138","0","1085","Ingraham: Democrats racing to the left","FoxNews"
"RcxcNRU0yOU","10844","374","4","0","204","Jordan blasts excuses for missing Strzok, Page text messages","FoxNews"
"hyIvFCljBqM","17902","453","22","0","232","Rep. Stewart: Memos show Comey was dishonest with Trump","FoxNews"
"s6k1HUuXIdA","69922","1151","67","0","1195","Professor berates colleagues who voted for Trump","FoxNews"
"fGdCp4ihfjA","41081","1180","58","0","1125","Is Jerry Brown killing California? | Part 1: Immigration","FoxNews"
"VsO4f4-7OTo","25542","922","57","0","570","Diamond & Silk on the left's Supreme Court hysterics","FoxNews"
"GKvkhQx-X_k","14643","218","7","0","170","13 trapped in Thailand cave in stable condition","FoxNews"
"BGsrXGe_2UI","11343","319","9","0","112","Questions remain after Wray and Horowitz testify","FoxNews"
"MNt1INyN4Iw","23489","492","24","0","312","Rivera: Korean War developments have a 'vibe of history'","FoxNews"
"itt7gBm5dCM","154920","2565","192","0","1232","Hannity: The political battle over Trump's SCOTUS nominee","FoxNews"
"hQY5QBY0Ka0","39486","614","39","0","232","'Special Report' All-Stars on death of Charles Krauthammer","FoxNews"
"yPx2PulD28k","124614","3077","213","0","1655","Hannity: Major progress on three fronts","FoxNews"
"F0lSv-O4mI4","48093","1215","91","0","747","Mark Levin explains why Mueller probe is unconstitutional","FoxNews"
"s9M9JTwKIoI","33995","689","49","0","544","Nigel Farage gives Ainsley a tour of London","FoxNews"
"a-gApadvoH4","230037","6074","442","0","2675","Sean Hannity on attacks from the left, defending America","FoxNews"
"4pGfNUuao2M","210689","7606","676","0","4170","Judge Jeanine: Donald Trump is bringing America back","FoxNews"
"GeT_CFQn1Yw","43696","861","52","0","351","Gutfeld on North Korea threatening to pull out of summit","FoxNews"
"jBsG3WNr7o0","15632","380","16","0","129","McConnell talks Trump, midterms in exclusive interview","FoxNews"
"kSRKZr8Xe44","106253","1677","90","0","965","Sen. McConnell calls Clapper's accusation 'laughable'","FoxNews"
"ulvhQQ21tBU","10605","194","6","0","62","What the world is saying about the Trump-Kim summit","FoxNews"
"uevYxaID9sM","136994","2107","122","0","2240","Democrats target SCOTUS candidate Amy Coney Barrett","FoxNews"
"sTBOLMBrba4","184530","5136","511","0","2745","Judge Jeanine: Sessions is the most dangerous man in America","FoxNews"
"cRPyuLTbbVA","76514","1002","97","0","654","Ben Shapiro: Senator's immigration video is a stunt","FoxNews"
"E8dP-3JIkVU","21759","917","33","0","419","Conway: Supreme Court pick will be faithful to Constitution","FoxNews"
"U9XATuhRthY","70807","1239","111","0","783","Giuliani on IG report: Mueller should suspend investigation","FoxNews"
"5OCuvPFk63g","84346","2161","156","0","1686","President Trump's approval ratings rising with Republicans","FoxNews"
"GpdRuBEmbBI","112605","2419","134","0","1639","Greg Gutfeld on starting a new peace movement","FoxNews"
"625bTZFC0CM","18912","446","29","0","236","Carter Page reacts to Democrats' memo on 'Hannity'","FoxNews"
"mSnBOnl64Hs","20586","601","34","0","311","Kurtz: Why the 'Abolish ICE' crowd could hurt the left","FoxNews"
"v4jO7xlAxsk","26945","493","21","0","282","Stirewalt on PA primary results, shrinking 'blue wave'","FoxNews"
"WS58VE6rHn8","91923","1484","60","0","348","Stephen Baldwin and Scott Baio react to Trump's win","FoxNews"
"gNB0_mD3sWc","31091","1007","31","0","377","Ingraham: Results vs. resistance","FoxNews"
"zr5dlPZ0HIs","15825","648","43","0","650","Trump: IG report 'totally exonerates me'","FoxNews"
"IUSjDgSdkMc","42683","1761","138","0","1608","Trump: Mexico is doing nothing for us at the border","FoxNews"
"LxkclhDu6Gs","79307","1226","121","0","2388","Jordan pressed over allegedly ignoring Ohio State sex abuse","FoxNews"
"vH_awnZLtZo","25236","481","13","0","315","Former Senate aide James Wolfe jailed for lying to FBI","FoxNews"
"8Xi0WxPbUoU","59234","721","41","0","677","Trump, Democrats gear up for Supreme Court showdown","FoxNews"
"mq3WBm_U6x4","91323","1696","117","0","1669","Nancy Pelosi mocks the Trump economy","FoxNews"
"LdYzMuZdQ2Y","103746","2248","195","0","1273","Hannity: Rod Rosenstein is trying to run out the clock","FoxNews"
"l76v4JW2BtQ","20660","727","49","0","890","Minority of farmers struggle for survival in South Africa","FoxNews"
"nj-yMLk_G8M","26107","837","39","0","788","Conservative graduate: Classmates booed me at graduation","FoxNews"
"xNNQBhTZsVU","145121","1700","71","0","973","Trump mulls possible replacements for Justice Kennedy","FoxNews"
"a3Fgh3VT7pA","210986","4801","371","0","2222","Why President Trump's poll numbers are on a roll","FoxNews"
"WoOkZ5H8GsY","9463","315","15","0","374","Trump tells NATO allies to pay their fair share","FoxNews"
"ydv_6Spf4cM","522320","2076","169","0","193","The best way to hold and calm a crying baby","FoxNews"
"yf6ChJs5q_4","16901","461","36","0","168","Whitlock: Why Kanye's Trump tweet was an all-time best","FoxNews"
"dhT72PWhqh4","5417535","12938","2100","0","5003","Triple homicide suspect threatens judge in court","FoxNews"
"4a7l4duSecM","10401","226","11","0","272","Judge sets hearing in Michael Flynn case","FoxNews"
"jqDeXTW3TLA","5645","248","9","0","92","Memo: Clinton associates fed info to Trump dossier author","FoxNews"
"Ws-5wJtGXIY","16442","382","25","0","172","Trump-backed candidate poised to upset Virginia primary","FoxNews"
"98ZhYZxlyic","55253","1239","42","0","817","Couple arrested for plan to bomb rally attended by Giuliani","FoxNews"
"8ClOJq6bp_Q","70564","1052","110","0","1158","Shapiro: Next wave of Democrats will be closer to Sanders","FoxNews"
"T6XeY-Lap0A","10463","51","2","0","36","Judge denies Dr. Nassar's request to end impact statements","FoxNews"
"kuc6C2_Txmw","168603","2208","294","0","4603","Tucker takes on Cornel West over Democratic socialism","FoxNews"
"oc0LoMfW-MY","26338","575","42","0","277","Mark Penn faces backlash for questioning Mueller probe","FoxNews"
"hZ8PyahiS_U","27482","332","29","0","493","Ex-Secret Service agent: No good options to save soccer team","FoxNews"
"Gaef7I1vM_M","36406","1068","58","0","691","Liberals blame Trump for Obama era image on Twitter","FoxNews"
"uDpQJpfmc8s","174144","1086","125","0","609","Dr. Guillen: Kilauea volcano is officially a triple threat","FoxNews"
"qRjE47r-Toc","8357","145","8","0","69","Who are the major players in the North Korea summit?","FoxNews"
"liwyAJo5SdI","68018","1122","103","0","846","Who benefits most from leak of Mueller's Trump questions?","FoxNews"
"Noh4DWvNpgM","64992","894","96","0","1046","GOP drops immigration bill after Trump signals he won't sign","FoxNews"
"eEYRcJt0p88","72862","649","57","0","402","Trump: Bill Clinton was far worse, Hillary should be ashamed","FoxNews"
"gER_y-71sm4","21318","646","32","0","288","Ingraham: Corruption, collusion, cash and the caravan","FoxNews"
"L43RRkTWQrQ","76586","1388","103","0","964","Hannity: How we got to this point with North Korea","FoxNews"
"Il-kvXbNgfo","16326","450","24","0","117","'The Greg Gutfeld Show' answers viewer questions","FoxNews"
"Tg92qcBiMuI","7689","402","14","0","96","NASCAR driver surprises Gold Star spouse for Memorial Day","FoxNews"
"_LU4rV_vENA","46691","1548","84","0","677","Trump lays wreath at Tomb of the Unknown Soldier","FoxNews"
